student_id,lifestyle_type,age,gender,course,year_of_study,hostel_block,sleep_time,wake_time,alarm_count,snooze_frequency,noise_sleep_tolerance,lights_off_time,study_hours,study_time_preference,silence_requirement,self_talking_study,academic_seriousness,cleanliness_score,organization_score,laundry_frequency,bed_making_habit,room_cleaning_frequency,bathing_frequency,towel_management,phone_call_frequency,late_night_calls,talkativeness,guest_frequency,overnight_guest_comfort,friendship_expectation,guest_timing_preference,privacy_preference,sharing_comfort,boundary_importance,unauthorized_usage,borrowing_frequency,independence_preference,fan_speed_preference,temperature_preference,entry_exit_noise_awareness,conflict_tolerance,conflict_style,criticism_response,emotional_stability,negativity_level,communication_respect,punctuality,adaptability,schedule_consistency,smoking,drinking,gaming_hours,music_frequency,music_volume,room_eating_habit,food_smell_tolerance,food_preference,gym_frequency,religious_practice_frequency,expense_responsibility
11,average,18,Female,EE,4,D,23,9,2,3,4,23,5,Morning,4,3,4,4,3,7,1,2,3,5,1,4,4,2,0,4,Anytime,2,3,2,0,3,3,3,2,3,3,Complain,5,4,4,4,1,3,2,0,0,2,1,1,0,3,Vegetarian,0,5,2
12,average,21,Male,CE,4,C,0,7,5,5,1,0,3,Evening,1,5,1,3,4,6,1,4,3,2,1,5,4,2,0,4,Evening,4,4,2,0,3,4,4,3,2,4,Complain,2,5,4,2,4,3,4,1,1,2,4,2,1,5,Non-Vegetarian,3,5,3
13,average,19,Male,EE,4,B,1,9,3,1,4,1,4,Afternoon,4,2,3,3,3,3,1,5,1,5,2,1,2,3,1,4,Afternoon,4,3,4,1,4,2,1,3,2,3,Avoid,4,4,4,4,4,4,4,0,0,4,3,3,1,3,Vegetarian,1,3,2
14,introvert,24,Male,CE,2,D,23,8,5,5,5,23,4,Morning,2,3,2,4,3,3,0,6,3,2,3,1,1,1,0,2,Afternoon,5,1,4,0,4,5,4,3,2,2,Avoid,5,2,1,5,4,2,4,0,0,2,3,1,0,2,Eggetarian,3,5,4
15,clean_freak,19,Female,BCOM,4,C,1,8,5,5,1,1,2,Afternoon,2,3,1,2,1,2,0,2,1,4,4,5,3,3,0,2,Evening,5,4,5,0,1,4,2,3,4,3,Direct,3,3,3,4,1,2,2,0,1,3,4,1,1,3,Non-Vegetarian,3,3,4
16,night_owl,21,Male,CSE,4,C,3,8,1,2,5,3,6,Morning,3,5,1,2,2,5,1,3,1,5,4,4,2,3,1,3,Evening,3,4,2,0,3,3,4,3,4,3,Direct,5,2,3,4,3,2,2,0,1,4,4,1,0,4,Eggetarian,3,4,2
17,average,22,Male,EE,4,D,22,6,5,2,2,22,4,Morning,5,4,1,2,1,4,0,6,1,4,3,5,4,3,1,3,Anytime,2,3,4,0,4,2,5,5,4,2,Direct,4,5,3,4,1,3,4,0,1,4,2,4,1,4,Non-Vegetarian,4,5,3
18,night_owl,20,Male,CE,4,B,4,8,3,4,4,4,5,Afternoon,4,1,2,4,5,3,0,7,2,1,5,4,2,2,1,4,Afternoon,2,3,3,0,5,4,4,1,3,4,Aggressive,4,5,5,2,5,2,1,0,0,1,4,1,0,5,Vegetarian,2,1,2
19,average,18,Female,IT,3,D,23,7,5,4,5,23,3,Afternoon,2,1,5,3,4,6,0,4,3,2,2,4,4,3,1,3,Morning,3,3,4,0,1,3,3,5,3,4,Aggressive,4,5,3,3,4,3,2,0,0,3,3,3,0,5,Non-Vegetarian,0,5,4
20,clean_freak,18,Female,EE,2,C,23,7,5,3,2,23,2,Morning,3,4,1,4,4,6,0,1,2,3,4,2,2,2,1,4,Evening,4,3,5,0,3,4,3,1,5,2,Avoid,3,5,5,5,1,3,2,0,1,1,4,3,1,3,Non-Vegetarian,2,1,4
21,average,18,Female,CE,1,D,0,9,1,2,1,0,2,Evening,4,1,1,2,3,2,1,4,2,5,4,5,4,2,1,4,Morning,3,4,3,0,1,4,3,2,3,3,Avoid,4,2,3,4,1,3,3,0,0,4,1,2,0,2,Non-Vegetarian,1,2,4
22,average,24,Male,CE,2,C,23,6,3,2,2,23,4,Afternoon,1,1,2,2,2,7,0,5,2,1,2,3,2,2,1,4,Morning,4,2,3,1,3,4,5,1,3,4,Avoid,2,4,4,2,1,3,3,1,1,1,4,4,0,2,Non-Vegetarian,4,2,2
23,disciplined,22,Female,BBA,3,D,23,7,4,1,1,23,7,Afternoon,4,4,2,5,5,7,1,4,2,1,3,4,3,2,1,2,Anytime,2,2,2,0,1,3,1,3,4,4,Direct,4,4,4,5,4,4,5,0,0,0,2,2,1,3,Vegetarian,2,5,5
24,disciplined,20,Male,BBA,1,C,21,5,3,3,3,21,5,Morning,2,2,5,5,4,2,0,1,3,5,2,4,3,2,1,2,Evening,3,4,3,0,5,4,1,1,4,2,Direct,2,5,4,5,4,5,5,0,0,2,1,3,1,2,Non-Vegetarian,4,4,5
25,disciplined,21,Male,CSE,2,C,21,5,3,3,3,21,3,Morning,4,4,2,4,4,5,0,5,3,3,1,4,4,1,1,2,Anytime,2,3,4,0,4,4,4,4,5,2,Aggressive,2,5,2,5,3,4,5,0,0,1,4,5,0,5,Non-Vegetarian,2,2,5
26,clean_freak,18,Male,CE,3,C,23,7,1,2,3,23,3,Afternoon,5,2,1,2,3,4,1,7,3,5,4,5,4,3,1,2,Anytime,4,3,5,0,3,3,5,1,5,4,Direct,4,5,4,4,1,3,3,0,1,1,4,4,0,2,Eggetarian,1,3,4
27,night_owl,19,Male,BCOM,1,C,1,9,1,2,4,1,5,Afternoon,3,3,3,3,3,7,1,6,3,1,3,1,3,2,1,3,Evening,4,4,4,0,3,2,5,2,3,3,Aggressive,3,2,3,5,3,2,3,0,1,4,3,1,1,4,Vegetarian,1,3,3
28,average,19,Male,ECE,3,A,22,8,5,2,5,22,5,Afternoon,2,2,5,2,3,4,0,4,2,2,4,5,3,3,0,4,Afternoon,3,3,2,0,5,3,4,3,3,4,Aggressive,3,3,5,3,3,2,4,1,0,1,1,3,0,3,Non-Vegetarian,3,5,2
29,gamer,18,Male,BCOM,3,A,1,6,4,5,3,1,3,Night,1,3,2,2,2,1,1,7,1,2,1,3,3,2,1,3,Morning,2,2,3,0,2,4,5,5,3,2,Complain,3,3,1,2,2,3,3,1,0,4,5,5,0,3,Eggetarian,1,3,3
30,disciplined,20,Male,BBA,2,A,23,6,1,5,5,23,7,Morning,4,4,1,5,5,3,0,3,1,3,2,1,4,2,0,2,Evening,4,3,4,0,2,4,4,4,4,2,Direct,5,4,3,4,1,4,4,0,0,2,4,5,1,4,Vegetarian,1,3,5
31,gamer,18,Female,EE,1,C,1,9,4,4,3,1,3,Night,4,3,5,3,2,6,1,1,2,5,2,5,3,3,0,2,Evening,4,3,3,1,5,4,4,2,4,3,Complain,5,2,3,5,3,4,1,0,1,7,5,5,0,2,Vegetarian,4,4,2
32,disciplined,19,Female,IT,4,A,23,5,4,3,3,23,6,Morning,5,2,5,5,5,3,1,2,1,1,2,4,4,2,0,3,Evening,4,3,2,0,5,3,4,2,4,2,Direct,5,4,4,4,3,5,4,0,0,0,2,3,0,2,Vegetarian,1,2,5
33,disciplined,22,Female,BCOM,2,A,21,6,4,4,5,21,6,Night,5,1,2,5,5,1,1,4,3,5,3,2,4,1,0,3,Morning,2,4,2,0,3,2,2,3,4,3,Complain,2,5,2,5,2,5,4,0,1,2,2,2,1,2,Vegetarian,0,1,5
34,introvert,24,Female,CSE,4,C,24,7,4,2,4,24,4,Night,1,1,2,4,4,4,1,2,2,5,2,3,2,1,0,2,Anytime,4,2,4,0,2,5,1,3,3,2,Avoid,2,2,3,5,5,3,2,0,0,3,2,1,1,5,Non-Vegetarian,2,4,2
35,disciplined,21,Female,CE,2,C,21,5,3,4,5,21,6,Evening,5,1,1,5,4,3,1,7,2,3,1,4,2,1,1,4,Evening,2,3,4,0,4,4,3,5,4,2,Direct,5,5,3,5,2,4,5,0,0,0,2,3,1,5,Vegetarian,4,5,4
36,average,22,Female,ME,4,C,0,9,5,3,4,0,2,Evening,3,1,4,4,4,7,0,5,2,3,5,5,2,2,1,2,Anytime,2,4,2,0,5,4,1,2,2,3,Complain,5,3,4,3,4,4,4,1,1,1,2,5,0,4,Eggetarian,3,5,3
37,average,19,Female,IT,3,C,1,7,2,3,5,1,4,Afternoon,3,3,2,4,5,4,1,4,2,5,3,3,2,3,1,3,Afternoon,3,2,3,0,3,3,3,4,2,2,Complain,4,3,1,3,2,2,4,0,1,2,1,1,1,4,Eggetarian,3,1,4
38,clean_freak,18,Male,BBA,4,D,23,8,3,3,1,23,2,Afternoon,5,1,2,3,2,1,1,7,2,2,3,1,2,3,0,3,Evening,5,4,5,0,2,4,4,3,4,2,Complain,3,5,3,4,1,4,3,0,1,2,2,5,1,2,Eggetarian,2,1,3
39,introvert,19,Male,BCOM,3,B,22,7,4,2,4,22,4,Evening,3,5,5,3,3,6,1,6,1,1,1,4,2,1,0,1,Anytime,5,3,4,0,3,4,2,2,3,2,Avoid,4,5,5,5,5,4,2,0,1,1,4,3,1,2,Eggetarian,0,1,4
40,gamer,19,Male,ME,3,D,22,7,5,4,1,22,5,Morning,4,2,5,3,3,5,0,5,2,3,1,4,3,2,0,4,Morning,2,3,3,0,5,2,1,4,2,3,Aggressive,3,2,4,4,4,3,2,1,0,8,4,3,0,3,Eggetarian,3,5,2
41,introvert,19,Male,CSE,3,D,24,8,5,4,5,24,5,Afternoon,2,4,3,3,3,2,0,1,3,4,5,1,1,1,0,1,Morning,4,3,4,1,5,4,2,1,3,3,Avoid,3,2,2,4,2,4,4,0,1,3,2,2,0,3,Non-Vegetarian,2,3,2
42,social,22,Male,BBA,4,A,0,9,4,5,3,0,4,Night,2,3,4,2,3,4,0,7,1,3,2,4,4,5,1,5,Afternoon,2,4,3,0,3,3,1,4,3,3,Complain,5,3,1,4,4,4,4,0,0,2,4,4,0,4,Non-Vegetarian,0,2,2
43,fitness_focused,18,Female,CE,2,D,23,8,3,4,4,23,4,Evening,3,3,5,3,3,1,1,7,2,2,3,3,3,2,0,4,Afternoon,2,3,4,1,3,2,2,3,2,3,Avoid,5,5,2,5,4,5,4,0,0,3,2,2,1,3,Eggetarian,7,1,4
44,gamer,18,Male,CSE,4,B,23,6,2,1,2,23,5,Evening,1,5,5,3,4,4,0,1,3,5,4,1,2,3,1,2,Anytime,2,2,2,0,2,2,5,5,3,3,Complain,5,2,3,5,4,4,1,0,0,4,4,1,1,5,Non-Vegetarian,4,4,2
45,social,23,Male,ECE,4,D,1,8,5,1,5,1,1,Afternoon,2,5,4,3,2,1,1,5,3,1,2,3,4,4,1,4,Anytime,1,5,2,0,5,2,5,3,3,5,Direct,5,2,3,4,1,2,3,0,0,3,5,4,0,4,Non-Vegetarian,3,2,3
46,social,21,Female,ME,4,A,1,8,2,1,1,1,3,Afternoon,4,2,4,3,3,1,0,1,2,4,3,3,4,4,1,4,Afternoon,2,5,4,1,1,1,1,3,4,3,Complain,5,4,2,2,3,3,3,0,1,2,4,5,1,3,Vegetarian,2,3,3
47,night_owl,18,Male,BBA,3,D,3,11,1,3,3,3,3,Night,5,5,2,3,2,2,1,1,2,3,5,4,3,3,1,3,Afternoon,3,3,4,0,4,3,2,4,3,3,Aggressive,3,4,4,4,4,3,1,0,1,2,1,4,0,5,Non-Vegetarian,0,4,4
48,night_owl,23,Female,CE,3,B,4,11,1,4,5,4,5,Night,5,5,4,4,3,7,1,6,3,5,1,1,2,3,0,4,Morning,4,4,4,1,3,3,1,1,2,3,Avoid,3,5,3,5,4,4,3,0,0,1,4,1,1,5,Vegetarian,0,2,3
49,average,21,Male,BCOM,3,D,22,9,4,3,1,22,4,Morning,1,1,3,4,3,6,0,6,1,5,2,5,2,3,1,3,Afternoon,3,4,2,0,4,3,1,5,2,3,Aggressive,5,2,2,3,3,4,2,0,1,2,3,3,0,5,Vegetarian,2,4,4
50,fitness_focused,20,Female,BBA,1,C,0,9,5,2,3,0,2,Afternoon,3,1,2,3,2,2,1,6,1,5,4,4,4,2,1,3,Afternoon,3,4,4,0,5,2,4,3,2,2,Complain,5,4,2,4,4,4,4,0,0,4,4,4,1,5,Eggetarian,6,4,4
51,disciplined,18,Male,EE,1,C,21,7,3,2,4,21,7,Night,5,5,1,4,4,7,1,5,1,4,5,2,3,1,0,3,Morning,3,3,3,0,1,3,1,2,4,4,Complain,5,4,5,4,2,4,4,0,1,1,2,3,1,4,Eggetarian,2,5,4
52,disciplined,24,Female,CSE,3,B,23,5,2,2,3,23,4,Night,4,2,5,5,5,4,1,4,1,1,4,5,4,2,1,3,Anytime,3,4,2,0,1,4,4,3,4,4,Aggressive,3,5,2,5,3,5,5,0,1,2,2,5,1,4,Eggetarian,0,1,4
53,social,24,Female,CSE,1,B,0,8,1,4,2,0,2,Evening,2,3,1,4,4,3,0,3,3,2,1,4,5,4,1,5,Morning,3,4,2,0,4,1,2,5,2,5,Complain,4,2,1,4,1,3,4,0,0,1,4,4,0,2,Vegetarian,2,3,3
54,disciplined,24,Male,ME,1,A,23,7,2,4,3,23,4,Afternoon,4,5,4,4,3,1,0,7,1,5,4,3,3,2,0,2,Evening,4,2,2,0,5,4,5,5,5,4,Direct,4,4,5,4,4,5,4,0,0,1,1,2,1,2,Eggetarian,0,3,5
55,disciplined,24,Female,IT,2,D,21,5,5,1,1,21,5,Afternoon,1,1,4,5,5,6,1,4,3,4,1,5,4,1,1,2,Evening,2,4,2,0,2,4,3,4,4,3,Aggressive,3,4,2,4,4,4,5,0,0,2,2,1,0,3,Eggetarian,0,2,5
56,fitness_focused,22,Female,ME,3,B,0,6,1,3,4,0,4,Morning,3,5,1,3,3,5,1,1,2,5,2,3,2,3,0,4,Morning,2,4,4,0,1,2,2,1,3,3,Aggressive,3,4,1,5,2,5,4,0,0,4,3,3,0,4,Vegetarian,7,1,4
57,average,22,Male,BBA,1,D,0,8,3,1,5,0,5,Morning,3,2,3,4,4,6,0,4,2,5,4,2,4,2,0,2,Anytime,2,2,4,0,1,3,1,4,4,4,Complain,2,3,5,3,4,3,2,0,1,3,1,1,0,5,Eggetarian,2,4,4
58,disciplined,18,Male,BBA,1,A,22,7,2,2,3,22,5,Evening,4,3,3,5,5,2,0,2,1,5,1,2,2,1,1,3,Evening,3,2,4,0,3,2,4,3,5,3,Direct,2,4,3,4,2,5,4,0,1,0,3,4,0,4,Non-Vegetarian,1,1,5
59,gamer,22,Male,ECE,4,A,23,6,1,1,2,23,3,Afternoon,4,3,1,4,5,3,0,1,1,2,4,2,2,3,0,2,Anytime,2,2,4,1,4,3,1,4,4,3,Avoid,4,2,2,4,3,3,1,0,1,8,4,3,1,5,Eggetarian,3,1,2
60,average,19,Female,CE,2,A,1,8,4,5,4,1,4,Evening,4,3,2,2,2,5,0,1,2,1,4,5,3,2,0,2,Afternoon,4,2,3,0,2,4,4,3,2,2,Avoid,4,4,5,2,3,4,4,0,1,2,4,5,1,3,Non-Vegetarian,0,1,2
61,average,19,Male,BCOM,1,C,23,7,3,2,3,23,2,Morning,2,5,2,2,3,7,1,1,2,4,5,1,3,3,1,2,Afternoon,4,3,4,1,3,2,5,5,3,2,Avoid,5,4,3,3,2,4,2,1,1,1,2,5,1,3,Eggetarian,4,1,3
62,disciplined,23,Male,CE,3,C,21,7,1,3,4,21,3,Evening,2,2,1,5,5,7,0,6,1,1,4,4,4,2,0,3,Anytime,3,3,4,0,4,2,4,5,4,2,Aggressive,2,4,3,4,3,5,4,0,0,0,4,2,0,2,Non-Vegetarian,4,5,5
63,introvert,21,Male,BBA,2,A,22,7,2,2,4,22,4,Evening,3,2,1,3,3,5,1,2,1,3,1,4,1,1,0,2,Anytime,4,1,4,0,2,5,1,4,2,3,Avoid,5,5,3,2,5,3,2,0,0,3,2,2,0,4,Non-Vegetarian,3,3,2
64,gamer,22,Male,ME,1,A,0,9,5,2,5,0,2,Night,5,4,5,4,4,5,0,4,2,1,4,1,4,2,0,3,Afternoon,2,2,2,0,1,3,1,4,2,4,Avoid,4,3,1,2,4,4,2,0,0,8,5,1,1,2,Non-Vegetarian,1,2,4
65,social,24,Male,ECE,1,C,1,8,4,3,4,1,4,Night,1,2,3,3,2,5,1,1,2,3,2,1,5,5,1,5,Morning,2,5,3,0,4,3,1,2,2,4,Complain,4,4,2,5,5,4,2,0,0,2,5,5,1,4,Vegetarian,4,2,2
66,average,22,Female,ME,1,B,23,7,1,2,1,23,5,Morning,3,2,3,3,3,5,1,6,1,1,2,3,3,3,0,3,Evening,3,2,3,0,3,2,4,1,2,4,Avoid,3,3,2,4,4,4,2,0,0,2,2,5,0,3,Non-Vegetarian,4,3,4
67,fitness_focused,23,Female,BBA,4,C,1,8,2,4,3,1,5,Morning,1,5,3,4,5,5,1,3,3,1,4,1,3,3,1,3,Evening,4,4,4,0,2,2,5,2,2,4,Aggressive,4,4,3,4,4,5,5,0,0,4,4,4,0,3,Non-Vegetarian,7,2,5
68,gamer,23,Female,EE,2,B,0,6,4,2,3,0,3,Evening,1,2,3,2,3,7,1,4,2,3,3,5,3,3,0,3,Morning,4,4,4,0,4,2,5,1,4,3,Complain,5,2,2,3,2,3,2,1,0,6,4,1,1,4,Eggetarian,1,3,4
69,disciplined,21,Female,CE,2,B,22,5,2,5,4,22,6,Night,4,4,4,4,3,5,0,6,2,1,3,5,2,1,0,4,Afternoon,2,4,3,0,3,2,1,4,5,2,Direct,2,5,3,5,5,5,5,0,0,1,3,2,0,5,Vegetarian,1,2,4
70,average,18,Male,ECE,3,A,1,8,5,5,1,1,2,Morning,1,1,1,3,3,4,0,5,2,4,2,2,4,2,1,3,Morning,4,4,3,0,4,2,5,5,2,3,Direct,2,5,2,3,3,4,2,0,1,4,3,2,0,5,Vegetarian,3,3,2
71,disciplined,23,Male,ECE,4,B,21,7,1,1,3,21,4,Night,3,3,4,4,3,7,0,7,1,3,3,3,3,1,0,2,Morning,2,4,4,0,2,3,3,4,5,4,Direct,4,5,2,4,4,5,5,0,0,2,4,4,0,2,Vegetarian,0,2,4
72,average,22,Female,BCOM,2,D,0,6,2,4,4,0,2,Night,4,1,1,3,4,3,0,6,3,5,5,5,2,3,0,3,Afternoon,3,3,4,1,2,4,5,1,2,4,Avoid,5,5,2,2,4,3,2,0,0,1,2,5,1,5,Vegetarian,0,4,3
73,clean_freak,21,Male,BCOM,4,C,22,9,1,1,4,22,5,Morning,5,5,1,2,3,5,1,5,3,2,4,3,3,2,0,3,Evening,5,4,5,0,4,2,1,2,4,3,Complain,4,4,1,4,2,3,2,1,0,3,2,2,0,2,Vegetarian,3,2,4
74,average,24,Female,CSE,1,D,1,7,4,1,5,1,2,Night,5,4,5,2,3,5,0,6,1,1,4,5,4,3,1,3,Afternoon,3,3,3,0,4,2,2,4,4,4,Complain,4,3,2,3,5,4,3,0,1,2,2,5,1,2,Non-Vegetarian,4,4,4
75,social,23,Female,EE,4,A,1,7,1,4,2,1,1,Morning,2,3,2,3,4,3,0,7,1,3,2,5,4,5,1,5,Morning,3,4,4,1,2,3,3,1,3,4,Direct,5,4,3,2,1,4,3,0,1,4,4,5,1,3,Eggetarian,1,3,3
76,average,23,Male,ME,2,A,1,6,4,3,5,1,4,Afternoon,2,5,3,2,2,4,0,1,1,3,5,1,4,3,1,4,Evening,2,4,3,0,2,4,1,5,2,3,Aggressive,2,4,2,3,3,3,3,0,0,4,1,1,1,5,Vegetarian,4,5,2
77,fitness_focused,23,Female,BBA,1,D,0,8,1,5,3,0,5,Night,1,3,2,3,4,1,0,2,3,5,1,1,2,2,1,2,Afternoon,4,4,4,1,1,4,2,1,3,4,Complain,2,4,1,4,2,5,4,0,0,2,3,4,1,5,Eggetarian,6,4,5
78,disciplined,23,Male,CSE,1,A,23,5,3,5,1,23,5,Evening,5,1,3,5,5,4,0,4,1,5,2,2,4,2,1,4,Afternoon,3,4,4,0,3,2,5,5,4,2,Direct,2,5,5,4,3,4,5,0,0,2,2,2,0,3,Eggetarian,2,2,4
79,average,24,Male,BCOM,1,C,22,8,1,2,5,22,5,Evening,3,2,2,2,2,5,0,2,2,4,4,3,4,3,0,4,Evening,3,3,2,0,3,2,2,4,3,3,Avoid,4,5,4,5,3,3,3,0,0,1,3,2,0,4,Eggetarian,0,1,2
80,gamer,23,Male,BBA,2,A,0,9,2,3,4,0,3,Evening,2,4,5,4,3,4,1,5,1,2,5,2,4,2,1,2,Afternoon,4,4,4,0,4,3,1,2,3,2,Direct,4,3,2,2,2,4,2,1,0,7,4,1,1,2,Eggetarian,4,3,4
81,average,22,Male,BBA,4,C,22,8,4,2,5,22,5,Evening,3,4,4,4,3,5,0,4,1,2,1,5,4,3,0,2,Afternoon,2,3,4,0,2,3,3,1,3,4,Aggressive,5,3,5,3,4,2,2,0,0,2,2,5,0,3,Vegetarian,1,3,2
82,night_owl,21,Male,EE,1,B,4,11,4,2,2,4,5,Afternoon,5,2,5,4,5,3,0,6,3,3,4,5,4,2,0,3,Anytime,2,2,2,0,5,4,4,2,4,2,Avoid,5,2,5,2,1,3,3,0,1,1,4,5,1,4,Vegetarian,4,4,2
83,fitness_focused,21,Female,IT,1,D,23,8,4,2,1,23,4,Night,3,2,1,4,5,7,0,5,3,1,5,1,3,2,1,3,Evening,2,2,3,0,3,4,4,5,3,4,Complain,5,4,2,5,2,5,5,0,0,3,3,5,1,5,Eggetarian,5,1,4
84,average,23,Male,ECE,2,D,0,6,2,4,1,0,2,Afternoon,4,5,4,2,1,3,0,3,1,5,1,4,3,3,0,2,Anytime,3,2,2,0,2,2,5,5,4,4,Avoid,3,2,3,3,1,2,2,0,0,3,4,4,0,2,Eggetarian,0,1,4
85,average,24,Female,IT,3,B,23,9,4,5,1,23,4,Afternoon,4,5,1,4,3,5,1,3,1,5,3,5,4,3,1,3,Anytime,2,3,3,1,5,2,4,1,3,2,Aggressive,3,3,3,5,3,4,4,0,1,3,2,3,0,5,Eggetarian,2,1,4
86,fitness_focused,21,Female,IT,2,C,23,7,4,2,2,23,3,Evening,2,2,2,2,3,3,0,7,1,1,1,4,4,2,0,3,Evening,4,3,3,0,4,2,5,3,3,2,Avoid,2,5,2,4,5,5,5,0,0,2,4,1,1,4,Eggetarian,5,1,4
87,average,18,Female,IT,3,B,0,7,3,4,5,0,4,Evening,2,4,4,2,2,6,1,3,2,3,4,2,4,2,0,2,Evening,2,4,3,1,2,2,2,4,2,2,Aggressive,5,3,5,4,4,3,3,0,0,1,2,1,0,4,Non-Vegetarian,0,4,4
88,average,20,Female,EE,3,A,1,6,3,5,2,1,3,Evening,3,3,5,3,4,4,0,4,3,3,4,2,2,3,1,4,Anytime,2,2,2,0,2,3,3,3,4,3,Aggressive,4,5,3,5,4,2,2,0,0,2,3,1,0,3,Non-Vegetarian,0,1,2
89,fitness_focused,21,Male,CSE,4,A,22,8,5,2,1,22,5,Evening,2,2,3,3,4,2,0,5,1,1,1,3,3,3,1,4,Evening,4,3,2,0,5,4,4,5,3,4,Complain,4,5,3,4,1,5,5,0,0,3,4,3,0,4,Vegetarian,5,5,4
90,average,21,Male,BCOM,4,C,22,9,3,5,2,22,2,Evening,2,4,5,3,3,2,0,6,3,4,4,2,3,2,1,4,Afternoon,4,4,4,0,3,4,5,3,3,2,Direct,3,3,3,2,4,4,3,0,1,4,2,3,0,3,Vegetarian,4,1,2
91,fitness_focused,20,Female,ME,4,A,23,6,2,1,4,23,3,Evening,4,3,4,3,3,6,0,3,1,2,1,3,3,2,1,2,Afternoon,3,3,2,0,2,3,4,2,4,2,Avoid,5,4,3,4,4,5,5,0,0,3,2,1,0,4,Non-Vegetarian,7,3,4
92,average,18,Male,ECE,2,D,0,6,2,3,5,0,2,Night,2,1,1,4,5,4,0,3,1,2,2,4,2,3,0,2,Evening,4,2,4,0,2,3,2,3,4,4,Complain,5,3,1,5,3,4,2,0,0,4,4,5,1,5,Vegetarian,4,2,4
93,average,23,Female,EE,2,A,23,9,3,3,5,23,4,Night,1,5,4,4,3,1,1,7,3,2,3,1,4,3,0,4,Anytime,4,2,4,0,3,3,3,1,2,4,Direct,2,3,2,2,2,2,3,0,0,1,4,4,1,2,Non-Vegetarian,1,5,4
